loglikelihood,weight,sessions,trial
-0.6930043835899062,0.4,1,1
-0.6912782911551956,0.4,1,2
-0.6934098486980141,0.4,1,3
-0.6924811354461415,0.4,1,4
-0.6937496467716051,0.4,1,5
-0.6938017627727443,0.4,1,6
-0.6943906779510263,0.4,1,7
-0.6893166326491721,0.4,1,8
-0.690349577903323,0.4,1,9
-0.6914346391586126,0.4,1,10
-0.692730252550833,0.4,2,1
-0.688505702432956,0.4,2,2
-0.6928480355864893,0.4,2,3
-0.6849357345278781,0.4,2,4
-0.6922591204082074,0.4,2,5
-0.689656430722763,0.4,2,6
-0.686322028888998,0.4,2,7
-0.6908999281138442,0.4,2,8
-0.6873549741431488,0.4,2,9
-0.6887933845054077,0.4,2,10
-0.6889939400434844,0.4,3,1
-0.6925468024806591,0.4,3,2
-0.6866800609438716,0.4,3,3
-0.6895036371538705,0.4,3,4
-0.6920655048447947,0.4,3,5
-0.6861272848122055,0.4,3,6
-0.6915433852144097,0.4,3,7
-0.6817588092109099,0.4,3,8
-0.6847522844577044,0.4,3,9
-0.6838779442337303,0.4,3,10
-0.6811486034271554,0.4,4,1
-0.687543107161227,0.4,4,2
-0.693110872618944,0.4,4,3
-0.6824803558659918,0.4,4,4
-0.6884072818919623,0.4,4,5
-0.687360785604433,0.4,4,6
-0.6865214559136947,0.4,4,7
-0.6853820216305065,0.4,4,8
-0.6937643263183635,0.4,4,9
-0.6872518706542504,0.4,4,10
-0.6830199975441648,0.4,5,1
-0.6918505580606847,0.4,5,2
-0.685102536325259,0.4,5,3
-0.6843448506235613,0.4,5,4
-0.6863526853902792,0.4,5,5
-0.677159450486206,0.4,5,6
-0.6831386804956459,0.4,5,7
-0.6865263268439296,0.4,5,8
-0.6837455413544857,0.4,5,9
-0.6837673297702928,0.4,5,10
-0.6895943778259401,0.4,6,1
-0.6856743866508626,0.4,6,2
-0.6857402416677104,0.4,6,3
-0.6810115773031764,0.4,6,4
-0.6901005205018018,0.4,6,5
-0.6884698516870649,0.4,6,6
-0.6808234849003231,0.4,6,7
-0.6847006853548452,0.4,6,8
-0.6852059281148821,0.4,6,9
-0.6844140720926035,0.4,6,10
-0.6907076696613663,0.4,7,1
-0.686851088494047,0.4,7,2
-0.6811624021460341,0.4,7,3
-0.6824162339247393,0.4,7,4
-0.6846383035420726,0.4,7,5
-0.6862213513212447,0.4,7,6
-0.6770815895292454,0.4,7,7
-0.6762560394694406,0.4,7,8
-0.6815370227705305,0.4,7,9
-0.6852591726294012,0.4,7,10
-0.6826698459950048,0.4,8,1
-0.6859465489639015,0.4,8,2
-0.6815509712958492,0.4,8,3
-0.686365336507833,0.4,8,4
-0.6729490965791476,0.4,8,5
-0.6810536967054616,0.4,8,6
-0.6774720182138799,0.4,8,7
-0.6809809614171197,0.4,8,8
-0.6750177274501483,0.4,8,9
-0.6837488671914551,0.4,8,10
-0.6785905247344811,0.4,9,1
-0.6829375539576936,0.4,9,2
-0.6773801825907707,0.4,9,3
-0.6824700376699788,0.4,9,4
-0.682377213114489,0.4,9,5
-0.680695053035488,0.4,9,6
-0.6821253686661533,0.4,9,7
-0.6772852423067364,0.4,9,8
-0.6858882384839333,0.4,9,9
-0.6815876272407447,0.4,9,10
-0.6801691503730238,0.4,10,1
-0.6746605560484952,0.4,10,2
-0.6763152834275737,0.4,10,3
-0.676227868592474,0.4,10,4
-0.6886334702983115,0.4,10,5
-0.6856615697087601,0.4,10,6
-0.6774149645264521,0.4,10,7
-0.6830199844223896,0.4,10,8
-0.6785551107431347,0.4,10,9
-0.674477831033591,0.4,10,10
-0.6736776983662787,0.4,11,1
-0.6781529936297772,0.4,11,2
-0.678812964469151,0.4,11,3
-0.6779613175817337,0.4,11,4
-0.6758014994115059,0.4,11,5
-0.6762072714630522,0.4,11,6
-0.6800825233661992,0.4,11,7
-0.674001344624791,0.4,11,8
-0.6786581604950334,0.4,11,9
-0.6787386735195917,0.4,11,10
-0.6733565710285154,0.4,12,1
-0.6768046029700873,0.4,12,2
-0.6810526123223744,0.4,12,3
-0.6751276825158888,0.4,12,4
-0.6717681795511217,0.4,12,5
-0.6809629117658629,0.4,12,6
-0.6876900368844556,0.4,12,7
-0.6731576202868739,0.4,12,8
-0.681991340815814,0.4,12,9
-0.6754309466047459,0.4,12,10
-0.6809006183509122,0.4,13,1
-0.6778427017163863,0.4,13,2
-0.6740206796260036,0.4,13,3
-0.6764037670728836,0.4,13,4
-0.6827957049016686,0.4,13,5
-0.6792372751736419,0.4,13,6
-0.6820238640075198,0.4,13,7
-0.676846843495928,0.4,13,8
-0.6723785255346093,0.4,13,9
-0.6768752429704495,0.4,13,10
-0.6742298239848359,0.4,14,1
-0.6750901810226694,0.4,14,2
-0.6691428994013375,0.4,14,3
-0.6713612316067408,0.4,14,4
-0.6763795858951294,0.4,14,5
-0.6728870998704269,0.4,14,6
-0.6723024694142227,0.4,14,7
-0.6813817615667869,0.4,14,8
-0.6778764629131093,0.4,14,9
-0.6749902017506219,0.4,14,10
-0.670979442926039,0.4,15,1
-0.6759094882023139,0.4,15,2
-0.6772253305454013,0.4,15,3
-0.6773599875668392,0.4,15,4
-0.6742068456352631,0.4,15,5
-0.6773552813626719,0.4,15,6
-0.678984051585517,0.4,15,7
-0.6802044169972646,0.4,15,8
-0.6785287561976814,0.4,15,9
-0.6803062959033426,0.4,15,10
-0.6748652431466479,0.4,16,1
-0.6756041152904089,0.4,16,2
-0.6764098628941914,0.4,16,3
-0.6782200701596091,0.4,16,4
-0.6838394551607504,0.4,16,5
