loglikelihood,system,sessions,trial
-0.6919336160114068,XSqrA_M,1,1
-0.693988487957491,XSqrA_M,2,1
-0.6919336160114068,XSqrA_M,3,1
-0.6808179488834404,XSqrA_M,4,1
-0.6919336160114068,XSqrA_M,5,1
-0.686432842999292,XSqrA_M,6,1
-0.686982564721693,XSqrA_M,7,1
-0.6790546626125009,XSqrA_M,8,1
-0.6936162308064979,XSqrA_M,9,1
-0.6833338102662215,XSqrA_M,10,1
-0.6878238721192386,XSqrA_M,11,1
-0.6827840885438207,XSqrA_M,12,1
-0.6849276927756087,XSqrA_M,13,1
-0.6951213810301812,XSqrA_M,14,1
-0.6730594505358009,XSqrA_M,15,1
-0.6865215752849959,XSqrA_M,16,1
-0.6766194727055682,XSqrA_M,17,1
-0.6821787940548558,XSqrA_M,18,1
-0.6798641532218366,XSqrA_M,19,1
-0.6867813441719308,XSqrA_M,20,1
-0.6774607801031137,XSqrA_M,21,1
-0.6765876559173584,XSqrA_M,22,1
-0.6695897934914159,XSqrA_M,23,1
-0.6823880754144734,XSqrA_M,24,1
-0.674420295707216,XSqrA_M,25,1
-0.6764166193161276,XSqrA_M,26,1
-0.6734397684966494,XSqrA_M,27,1
-0.6722418991166094,XSqrA_M,28,1
-0.6734635244750037,XSqrA_M,29,1
-0.6711756151909475,XSqrA_M,30,1
-0.6660535273000026,XSqrA_M,31,1
-0.6714893240047678,XSqrA_M,32,1
-0.6781097503135063,XSqrA_M,33,1
-0.6684585332584042,XSqrA_M,34,1
-0.6639214187697656,XSqrA_M,35,1
-0.6733510362109455,XSqrA_M,36,1
-0.6617425628580723,XSqrA_M,37,1
-0.6707464425424604,XSqrA_M,38,1
-0.667330725424961,XSqrA_M,39,1
-0.6653629354170292,XSqrA_M,40,1
-0.6810360023708304,XSqrA_M,41,1
-0.6667742856236344,XSqrA_M,42,1
-0.6759016899525451,XSqrA_M,43,1
-0.6667173701261404,XSqrA_M,44,1
-0.670074538906467,XSqrA_M,45,1
-0.6655072404692971,XSqrA_M,46,1
-0.6565584742303864,XSqrA_M,47,1
-0.6651438666809132,XSqrA_M,48,1
-0.6673778360380839,XSqrA_M,49,1
-0.6747378648855238,XSqrA_M,50,1
-0.665844245940385,XSqrA_M,51,1
-0.6663688689535016,XSqrA_M,52,1
-0.6649906782660363,XSqrA_M,53,1
-0.663157347956373,XSqrA_M,54,1
-0.6656917863512973,XSqrA_M,55,1
-0.6748162151095993,XSqrA_M,56,1
-0.6625189519257695,XSqrA_M,57,1
-0.6635555141035755,XSqrA_M,58,1
-0.6730971438008069,XSqrA_M,59,1
-0.6620155715210737,XSqrA_M,60,1
-0.6611528698106419,XSqrA_M,61,1
-0.6545761192233311,XSqrA_M,62,1
-0.6588870836652614,XSqrA_M,63,1
-0.665844671413177,XSqrA_M,64,1
-0.6583314541508603,XSqrA_M,65,1
-0.6647732423695988,XSqrA_M,66,1
-0.647839004205166,XSqrA_M,67,1
-0.6492880624625293,XSqrA_M,68,1
-0.6574362813333826,XSqrA_M,69,1
-0.6592708365178055,XSqrA_M,70,1
-0.6559543099107963,XSqrA_M,71,1
-0.6494589069455998,XSqrA_M,72,1
-0.659672490814039,XSqrA_M,73,1
-0.6507938265913532,XSqrA_M,74,1
-0.6491471343244555,XSqrA_M,75,1
-0.6562796322823382,XSqrA_M,76,1
-0.6530256429306686,XSqrA_M,77,1
-0.655784235300956,XSqrA_M,78,1
-0.6563184391872668,XSqrA_M,79,1
-0.6670994321615045,XSqrA_M,80,1
-0.6563010670089197,XSqrA_M,81,1
-0.6518200812144844,XSqrA_M,82,1
