loglikelihood,weight,sessions,trial
-0.6698280247203878,0.4,1,1
-0.6655052652817344,0.4,1,2
-0.6690289078524664,0.4,1,3
-0.6754218427958391,0.4,1,4
-0.6722253753241527,0.4,1,5
-0.6736788423901653,0.4,1,6
-0.6795621938052778,0.4,1,7
-0.67335166729112,0.4,1,8
-0.6818147777392121,0.4,1,9
-0.6755666094656697,0.4,1,10
-0.661472039182742,0.4,2,1
-0.662308797810048,0.4,2,2
-0.6712438500270161,0.4,2,3
-0.6543494705225094,0.4,2,4
-0.6689912660930819,0.4,2,5
-0.6612896307535269,0.4,2,6
-0.665033323512858,0.4,2,7
-0.660635280555436,0.4,2,8
-0.665650031951565,0.4,2,9
-0.6646685066544284,0.4,2,10
-0.65575320129593,0.4,3,1
-0.6485266424846395,0.4,3,2
-0.6548276818101623,0.4,3,3
-0.6644170842252214,0.4,3,4
-0.6435678968998793,0.4,3,5
-0.6605792747440672,0.4,3,6
-0.6586439924799437,0.4,3,7
-0.6422591965036973,0.4,3,8
-0.6465353544091471,0.4,3,9
-0.6497846929328137,0.4,3,10
-0.6453781593526423,0.4,4,1
-0.6387355539329651,0.4,4,2
-0.6391286082726144,0.4,4,3
-0.6413466852065525,0.4,4,4
-0.6429610618904075,0.4,4,5
-0.6475388476687262,0.4,4,6
-0.6451316236357265,0.4,4,7
-0.6515967073384796,0.4,4,8
-0.6423098464517049,0.4,4,9
-0.6454404346827874,0.4,4,10
-0.6368392962347115,0.4,5,1
-0.6356807183717211,0.4,5,2
-0.6384596637751359,0.4,5,3
-0.6393146206122876,0.4,5,4
-0.631730950289899,0.4,5,5
-0.6433801326073033,0.4,5,6
-0.6440743456687514,0.4,5,7
-0.642011543827087,0.4,5,8
-0.6319039544409489,0.4,5,9
-0.6291812935111101,0.4,5,10
-0.627522014224885,0.4,6,1
-0.6369987504326526,0.4,6,2
-0.6356856452906655,0.4,6,3
-0.6328163529180245,0.4,6,4
-0.6361947066457865,0.4,6,5
-0.6372421111835267,0.4,6,6
-0.6255903162798736,0.4,6,7
-0.6301760705078022,0.4,6,8
-0.6340788081120041,0.4,6,9
-0.6338534746734592,0.4,6,10
-0.6142634949626391,0.4,7,1
-0.6274011735191916,0.4,7,2
-0.6257103365588742,0.4,7,3
-0.6302013390717717,0.4,7,4
-0.6308818184671782,0.4,7,5
-0.6279858747240823,0.4,7,6
-0.6216724622031445,0.4,7,7
-0.6256151754907723,0.4,7,8
-0.6235884667598683,0.4,7,9
-0.6249552633805285,0.4,7,10
-0.6116103171838625,0.4,8,1
-0.616902863717446,0.4,8,2
-0.6319964448453541,0.4,8,3
-0.6294594980016356,0.4,8,4
-0.6249305169896986,0.4,8,5
-0.6202147032113959,0.4,8,6
-0.6266617596018197,0.4,8,7
-0.628183625265962,0.4,8,8
-0.6227918496581268,0.4,8,9
-0.632588406893231,0.4,8,10
-0.6271152440899888,0.4,9,1
-0.6156725089860053,0.4,9,2
-0.616369132342189,0.4,9,3
-0.6090742671375304,0.4,9,4
-0.614541982885416,0.4,9,5
-0.6156669470738526,0.4,9,6
-0.6125315251525483,0.4,9,7
-0.6127311404673997,0.4,9,8
-0.6163237970381236,0.4,9,9
