loglikelihood,weight,sessions,trial
-0.6929734605561485,0.4,1,1
-0.6883524793524156,0.4,1,2
-0.6906629699542821,0.4,1,3
-0.695283951158015,0.4,1,4
-0.6921882403184393,0.4,1,5
-0.6921882403184393,0.4,1,6
-0.687219819107113,0.4,1,7
-0.6916219101957881,0.4,1,8
-0.6916219101957881,0.4,1,9
-0.692580850437294,0.4,1,10
-0.6916219101957881,0.4,2,1
-0.6904892499504854,0.4,2,2
-0.6760599762166352,0.4,2,3
-0.6900966398316307,0.4,2,4
-0.6849093285052466,0.4,2,5
-0.6916219101957881,0.4,2,6
-0.6924071304334973,0.4,2,7
-0.6791556870562108,0.4,2,8
-0.6860871588618103,0.4,2,9
-0.6920145203146427,0.4,2,10
-0.6911007501843979,0.4,3,1
-0.6863060489768683,0.4,3,2
-0.6845618884976531,0.4,3,3
-0.6934112407862644,0.4,3,4
-0.6849093285052466,0.4,3,5
-0.6858682687467523,0.4,3,6
-0.6881787593486189,0.4,3,7
-0.6933660706750032,0.4,3,8
-0.689922919827834,0.4,3,9
-0.6824251178995833,0.4,3,10
-0.6831651680260312,0.4,4,1
-0.6887902595825314,0.4,4,2
-0.6901418099428919,0.4,4,3
-0.6903155299466888,0.4,4,4
-0.6810735675392227,0.4,4,5
-0.6847356085014498,0.4,4,6
-0.6823837094995882,0.4,4,7
-0.6921957637409714,0.4,4,8
-0.6931509422712113,0.4,4,9
-0.6910555800731366,0.4,4,10
-0.6837390215712147,0.4,5,1
-0.6957669014993919,0.4,5,2
-0.6860871588618103,0.4,5,3
-0.676803788054349,0.4,5,4
-0.6876124292259677,0.4,5,5
-0.6905344200617466,0.4,5,6
-0.6823423010995929,0.4,5,7
-0.693584960790061,0.4,5,8
-0.6863931904694085,0.4,5,9
-0.6841278699788033,0.4,5,10
-0.680635787309107,0.4,6,1
-0.6796806087788669,0.4,6,2
-0.6931923506712064,0.4,6,3
-0.6958954513919277,0.4,6,4
-0.6899680899390952,0.4,6,5
-0.6731417470921222,0.4,6,6
-0.6729266186883301,0.4,6,7
-0.6846942001014544,0.4,6,8
-0.6871821724183838,0.4,6,9
-0.6911540066994751,0.4,6,10
-0.6781176917259805,0.4,7,1
-0.6823460628108589,0.4,7,2
-0.681168232454295,0.4,7,3
-0.6814661776580774,0.4,7,4
-0.6880050393448223,0.4,7,5
-0.6772792149731942,0.4,7,6
-0.6750633892864,0.4,7,7
-0.6670939221505703,0.4,7,8
-0.6805072374165715,0.4,7,9
-0.6722242152506114,0.4,7,10
-0.6880206491711702,0.4,8,1
-0.681168232454295,0.4,8,2
-0.6798055959707026,0.4,8,3
-0.6768075497656151,0.4,8,4
-0.6786463751599026,0.4,8,5
-0.677509953203334,0.4,8,6
-0.6690532110335773,0.4,8,7
-0.6796504855126698,0.4,8,8
-0.6714051100354389,0.4,8,9
-0.6812096408542903,0.4,8,10
-0.6780651972027535,0.4,9,1
-0.6801302371240648,0.4,9,2
-0.6807268895234794,0.4,9,3
