loglikelihood,system,sessions,trial
-0.6929843180563858,XSqrA_M,1,1
-0.6933523900428121,XSqrA_M,2,1
-0.6937628090085457,XSqrA_M,3,1
-0.6803205866366295,XSqrA_M,4,1
-0.6887867701193857,XSqrA_M,5,1
-0.682890037332989,XSqrA_M,6,1
-0.6823273356766317,XSqrA_M,7,1
-0.6919794302679232,XSqrA_M,8,1
-0.6841897839019639,XSqrA_M,9,1
-0.6851415305982129,XSqrA_M,10,1
-0.6761347337523006,XSqrA_M,11,1
-0.6797197789726359,XSqrA_M,12,1
-0.6784213342158025,XSqrA_M,13,1
-0.6789383078553997,XSqrA_M,14,1
-0.682886697301083,XSqrA_M,15,1
-0.6821360460386069,XSqrA_M,16,1
-0.6682881921118635,XSqrA_M,17,1
-0.6796316180595376,XSqrA_M,18,1
-0.6678321601653143,XSqrA_M,19,1
-0.6705889399981595,XSqrA_M,20,1
-0.6739129284281368,XSqrA_M,21,1
-0.6665464869887358,XSqrA_M,22,1
-0.666943345976457,XSqrA_M,23,1
-0.6472759914812375,XSqrA_M,24,1
-0.6581864983130135,XSqrA_M,25,1
-0.6769200913406784,XSqrA_M,26,1
-0.6612922993605939,XSqrA_M,27,1
-0.6645584862100286,XSqrA_M,28,1
-0.6698462892559187,XSqrA_M,29,1
-0.6623346570466696,XSqrA_M,30,1
-0.6654804552944296,XSqrA_M,31,1
-0.655068491089696,XSqrA_M,32,1
-0.6543896881751817,XSqrA_M,33,1
-0.6593020061591924,XSqrA_M,34,1
-0.663916438825768,XSqrA_M,35,1
-0.6579112887335614,XSqrA_M,36,1
-0.6595714309963098,XSqrA_M,37,1
-0.6635906451545508,XSqrA_M,38,1
-0.6670591709914204,XSqrA_M,39,1
-0.657640972228916,XSqrA_M,40,1
-0.6601638129340328,XSqrA_M,41,1
-0.6603189841854019,XSqrA_M,42,1
-0.6567927087581233,XSqrA_M,43,1
-0.6498426786058858,XSqrA_M,44,1
-0.6571011075422614,XSqrA_M,45,1
-0.6509435894916531,XSqrA_M,46,1
-0.6533903728704902,XSqrA_M,47,1
-0.6444165347544779,XSqrA_M,48,1
-0.6534622135587577,XSqrA_M,49,1
-0.6519445984686687,XSqrA_M,50,1
-0.6494556184647151,XSqrA_M,51,1
-0.6549801458975867,XSqrA_M,52,1
-0.6591075204428934,XSqrA_M,53,1
